Date;Calories actives;Calories au repos;Calories dépensées au total
12-oct;35;2,193;2,228
11-oct;960;2,193;3,153
10-oct;1,093;2,193;3,286
09-oct;669;2,193;2,862
08-oct;0;1,104;1,104
07-oct;2,339;2,193;4,532
06-oct;1,188;2,193;3,381
05-oct;556;2,193;2,749
04-oct;355;2,193;2,548
03-oct;753;2,193;2,946
02-oct;862;2,193;3,055
01-oct;1,444;2,193;3,637
30 Sep.;442;2,193;2,635
29 Sep.;1,123;1,914;3,037
28 Sep.;1,06;2,193;3,253
27 Sep.;1,426;2,193;3,619
26 Sep.;1,21;2,193;3,403
25 Sep.;839;2,193;3,032
24 Sep.;618;2,193;2,811
23 Sep.;1,974;2,193;4,167
22 Sep.;190;2,193;2,383
21 Sep.;840;2,193;3,033
20 Sep.;646;2,193;2,839
19 Sep.;950;2,193;3,143
18 Sep.;546;2,193;2,739
17 Sep.;341;2,193;2,534
16 Sep.;1,567;2,193;3,76
15 Sep.;657;2,193;2,85
14 Sep.;1,648;2,193;3,841
13 Sep.;458;2,193;2,651
12 Sep.;845;2,193;3,038
11 Sep.;834;2,193;3,027
10 Sep.;141;2,193;2,334
9 Sep.;2,877;2,193;5,07
8 Sep.;1,274;2,193;3,467
7 Sep.;769;2,193;2,962
6 Sep.;1,043;2,193;3,236
5 Sep.;750;2,193;2,943
4 Sep.;498;2,193;2,691
3 Sep.;620;2,193;2,813
2 Sep.;496;2,193;2,689
1 Sep.;1,608;2,193;3,801
31-août;558;2,193;2,751
30-août;1,036;2,193;3,229
29-août;656;2,193;2,849
28-août;174;2,193;2,367
27-août;1,406;2,193;3,599
26-août;3,327;2,193;5,52
25-août;1,068;2,193;3,261
24-août;443;2,193;2,636
23-août;1,037;2,193;3,23
22-août;758;2,193;2,951
21-août;4;2,193;2,197
20-août;2,698;2,193;4,891
19-août;1,33;2,193;3,523
18-août;1,519;2,193;3,712
17-août;340;2,193;2,533
16-août;898;2,193;3,091
15-août;323;2,193;2,516
14-août;108;2,193;2,301
13-août;1,348;1,529;2,877
12-août;6;2,193;2,199
11-août;50;2,193;2,243
10-août;161;2,193;2,354
09-août;105;2,193;2,298
08-août;843;2,193;3,036
07-août;682;2,193;2,875
06-août;954;2,193;3,147
05-août;1,86;2,193;4,053
04-août;770;2,193;2,963
03-août;273;2,193;2,466
02-août;1,177;2,193;3,37
01-août;752;2,193;2,945
31-juil;127;2,189;2,316
30-juil;645;2,193;2,838
29-juil;1,016;2,193;3,209
28-juil;318;2,193;2,511
27-juil;972;2,193;3,165
26-juil;815;2,193;3,008
25-juil;252;2,193;2,445
24-juil;29;2,193;2,222
23-juil;1,393;1,48;2,873
22-juil;4,317;2,193;6,51
21-juil;2,322;2,193;4,515
20-juil;25;2,193;2,218
19-juil;164;2,193;2,357
18-juil;857;2,193;3,05
17-juil;690;2,193;2,883
16-juil;1,437;2,203;3,64
15-juil;698;2,203;2,901
14-juil;747;2,203;2,95
13-juil;677;2,203;2,88
12-juil;711;2,203;2,914
11-juil;755;2,203;2,958
10-juil;793;2,203;2,996
09-juil;973;2,203;3,176
08-juil;2,266;2,203;4,469
07-juil;1,981;2,203;4,184
06-juil;764;2,203;2,967
05-juil;964;2,203;3,167
04-juil;674;2,203;2,877
03-juil;721;2,203;2,924
02-juil;9;2,203;2,212
01-juil;144;2,203;2,347
30-juin;749;2,203;2,952
29-juin;125;2,203;2,328
28-juin;923;2,203;3,126
27-juin;933;2,203;3,136
26-juin;874;2,203;3,077
25-juin;116;2,203;2,319
24-juin;578;2,203;2,781
23-juin;0;2,203;2,203
22-juin;1,858;1,811;3,669
21-juin;1,675;2,203;3,878
20-juin;1,192;2,201;3,393
19-juin;1,013;2,203;3,216
18-juin;547;2,203;2,75
17-juin;225;2,203;2,428
16-juin;7;2,203;2,21
15-juin;54;2,201;2,255
14-juin;669;1,955;2,624
13-juin;903;2,203;3,106
12-juin;238;2,203;2,441
11-juin;631;2,203;2,834
10-juin;0;2,203;2,203
09-juin;401;2,203;2,604
08-juin;345;2,203;2,548
07-juin;767;2,203;2,97
06-juin;914;2,203;3,117
05-juin;560;2,203;2,763
04-juin;503;2,203;2,706
03-juin;2;2,203;2,205
02-juin;543;2,203;2,746
01-juin;541;2,203;2,744
31-mai;648;2,203;2,851
30-mai;969;2,203;3,172
29-mai;798;2,203;3,001
28-mai;211;2,203;2,414
27-mai;823;2,203;3,026
26-mai;79;2,203;2,282
25-mai;515;2,203;2,718
24-mai;552;2,203;2,755
23-mai;894;2,203;3,097
22-mai;48;2,203;2,251
21-mai;36;2,203;2,239
20-mai;656;2,203;2,859
19-mai;556;2,203;2,759
18-mai;230;2,203;2,433
17-mai;849;2,203;3,052
16-mai;735;2,203;2,938
15-mai;187;2,203;2,39
14-mai;0;2,203;2,203
13-mai;0;2,203;2,203
12-mai;186;2,203;2,389
11-mai;789;2,203;2,992
10-mai;773;2,203;2,976
09-mai;881;2,203;3,084
08-mai;962;2,203;3,165
07-mai;1,026;2,203;3,229
06-mai;569;2,203;2,772
05-mai;929;2,203;3,132
04-mai;281;2,203;2,484
03-mai;548;2,203;2,751
02-mai;397;2,203;2,6
01-mai;133;2,203;2,336
30 Avr.;0;2,203;2,203
29 Avr.;0;2,195;2,195
28 Avr.;140;2,203;2,343
27 Avr.;339;2,201;2,54
26 Avr.;60;2,203;2,263
25 Avr.;736;2,203;2,939
24 Avr.;653;2,203;2,856
23 Avr.;1,824;2,203;4,027
