Type d'activité,Date,Favori,Titre,Distance,Calories,Durée,Fréquence cardiaque moyenne,Fréquence cardiaque maximale,TE aérobie,Cadence de course moyenne,Cadence de course maximale,Allure moyenne,Meilleure allure,Ascension totale,Descente totale,Longueur moyenne des foulées,Rapport vertical moyen,Oscillation verticale moyenne,Temps de contact moyen avec le sol,Equilibre TCS moyen,Training Stress Score® (TSS®),Puissance moy.,Puissance max.,Difficulté,Constance,Nombre total de coups,SWOLF moyen,Fréquence moy. des coups,Total répétitions,Total séries,Temps de plongée,Température minimale,Intervalle à la surface,Décompression,Temps du meilleur circuit,Nombre de tours,Température maximale,Fréquence respiratoire moyenne,Fréquence respiratoire minimale,Fréquence respiratoire maximale,Temps de déplacement,Temps écoulé,Altitude minimale,Altitude maximale
Cyclisme,2023-11-28 20:38:56,false,"Paris Cyclisme","3.82","131","00:15:00","118","140","0.8","--","--","15.3","67.3","38","9","0.00","0.0","0.0","0","--","0.0","0","0","0.0","0.0","--","0","0","0","--","0:00","11.0","0:00","Non","00:02:48.9","4","14.0","--","--","--","00:14:27","00:15:00","39","73"
Course à pied,2023-11-28 19:19:41,false,"Paris Course à pied","9.71","792","01:04:19","155","188","3.7","139","200","6:37","2:31","1","4","1.07","0.0","0.0","0","--","0.0","0","0","0.0","0.0","--","0","0","0","--","0:00","11.0","0:00","Non","00:00:28.1","24","18.0","--","--","--","00:57:51","01:18:51","33","39"
Cyclisme,2023-11-28 18:58:40,false,"Paris Cyclisme","3.90","123","00:12:38","123","140","1.0","--","--","18.5","32.3","6","36","0.00","0.0","0.0","0","--","0.0","0","0","0.0","0.0","--","0","0","0","--","0:00","14.0","0:00","Non","00:02:56","4","21.0","--","--","--","00:11:50","00:12:38","35","68"
Course à pied,2023-11-26 13:10:29,false,"Paris - Base","6.86","528","00:35:02","167","183","3.5","162","173","5:06","3:14","52","50","1.21","0.0","0.0","0","--","0.0","0","0","0.0","0.0","--","0","0","0","--","0:00","14.0","0:00","Non","00:04:24.7","7","26.0","--","--","--","00:34:40","00:35:02","42","77"
Course à pied,2023-11-24 17:33:46,false,"Paris Course à pied","6.29","483","00:34:35","153","174","3.1","154","170","5:30","4:23","38","39","1.18","0.0","0.0","0","--","0.0","0","0","0.0","0.0","--","0","0","0","--","0:00","13.0","0:00","Non","00:01:19.7","7","26.0","--","--","--","00:33:02","00:34:35","61","73"
Course à pied,2023-11-23 19:18:37,false,"Paris Course à pied","7.17","639","00:58:02","142","168","3.1","133","212","8:06","2:58","1","2","0.92","0.0","0.0","0","--","0.0","0","0","0.0","0.0","--","0","0","0","--","0:00","15.0","0:00","Non","00:00:29.5","29","20.0","--","--","--","00:45:42","01:00:29","38","42"
Course à pied,2023-11-20 17:53:59,false,"Course à pied","5.90","626","00:43:38","157","186","3.8","151","167","7:23","3:58","--","2","0.91","0.0","0.0","0","--","0.0","0","0","0.0","0.0","--","0","0","0","--","0:00","26.0","0:00","Non","00:04:48.3","6","28.0","--","--","--","00:40:52","00:43:38","239","242"
Course à pied,2023-11-16 19:25:36,false,"Paris Course à pied","8.72","744","00:56:31","162","182","3.4","144","183","6:29","3:05","11","14","1.07","0.0","0.0","0","--","0.0","0","0","0.0","0.0","--","0","0","0","--","0:00","13.0","0:00","Non","00:00:36.2","24","18.0","--","--","--","00:53:33","00:56:33","31","40"
Cyclisme,2023-11-14 21:05:55,false,"Paris Cyclisme","3.19","165","00:12:21","144","160","2.0","--","--","15.5","22.5","30","5","0.00","0.0","0.0","0","--","0.0","0","0","0.0","0.0","--","0","0","0","--","0:00","19.0","0:00","Non","00:00:53.0","4","21.0","--","--","--","00:11:45","00:12:21","39","69"
Course à pied,2023-11-14 20:47:42,false,"Paris Course à pied","1.08","84","00:05:58.3","170","178","1.4","159","163","5:32","5:11","1","5","1.14","0.0","0.0","0","--","0.0","0","0","0.0","0.0","--","0","0","0","--","0:00","19.0","0:00","Non","00:00:26.6","2","20.0","--","--","--","00:05:57.6","00:05:58.3","37","42"
Course à pied,2023-11-14 20:13:26,false,"Paris Course à pied","4.41","354","00:26:32","155","202","3.3","152","175","6:01","3:33","5","6","1.09","0.0","0.0","0","--","0.0","0","0","0.0","0.0","--","0","0","0","--","0:00","16.0","0:00","Non","00:03:53.0","5","21.0","--","--","--","00:25:50","00:26:32","35","41"
Course à pied,2023-11-13 18:52:33,false,"Paris - Base","5.98","475","00:34:48","153","176","3.1","154","171","5:50","4:02","32","34","1.12","0.0","0.0","0","--","0.0","0","0","0.0","0.0","--","0","0","0","--","0:00","20.0","0:00","Non","00:05:02.9","6","29.0","--","--","--","00:33:15","00:34:48","61","73"
Course à pied,2023-11-10 10:15:28,false,"Audierne Course à pied","6.06","457","00:31:10","155","175","3.3","162","170","5:09","4:02","118","117","1.20","0.0","0.0","0","--","0.0","0","0","0.0","0.0","--","0","0","0","--","0:00","16.0","0:00","Non","00:00:17.3","7","27.0","--","--","--","00:31:09","00:31:10","7","49"
Course à pied,2023-11-08 17:53:29,false,"Dompierre-sur-Yon Course à pied","9.01","679","00:45:55","154","174","3.7","163","174","5:06","4:00","147","146","1.20","0.0","0.0","0","--","0.0","0","0","0.0","0.0","--","0","0","0","--","0:00","15.0","0:00","Non","00:00:02.9","10","26.0","--","--","--","00:45:52","00:45:55","59","91"
Course à pied,2023-11-06 16:29:22,false,"Dompierre-sur-Yon Course à pied","6.34","450","00:32:49","141","158","3.0","161","170","5:10","4:50","42","42","1.20","0.0","0.0","0","--","0.0","0","0","0.0","0.0","--","0","0","0","--","0:00","14.0","0:00","Non","00:01:48.0","7","27.0","--","--","--","00:32:47","00:32:49","78","89"
Course à pied,2023-11-04 16:13:35,false,"Dompierre-sur-Yon Course à pied","0.99","81","00:05:55.2","149","161","1.3","157","163","5:59","5:44","14","9","1.06","0.0","0.0","0","--","0.0","0","0","0.0","0.0","--","0","0","0","--","0:00","18.0","0:00","Non","00:05:55.2","1","21.0","--","--","--","00:05:55","00:05:55.2","81","88"
Course à pied,2023-11-04 15:45:40,false,"Dompierre-sur-Yon - Base","6.21","451","00:27:01","170","188","3.9","166","172","4:21","3:59","43","41","1.38","0.0","0.0","0","--","0.0","0","0","0.0","0.0","--","0","0","0","--","0:00","18.0","0:00","Non","00:00:50.8","7","28.0","--","--","--","00:26:58","00:27:01","76","86"
Course à pied,2023-11-02 18:31:20,false,"Paris Course à pied","6.11","461","00:33:17","145","167","3.1","154","172","5:27","3:45","41","41","1.18","0.0","0.0","0","--","0.0","0","0","0.0","0.0","--","0","0","0","--","0:00","17.0","0:00","Non","00:00:25.3","7","28.0","--","--","--","00:31:27","00:33:17","60","73"
Course à pied,2023-10-31 17:48:36,false,"Paris Course à pied","6.38","454","00:31:31","150","173","3.3","157","170","4:56","3:45","31","35","1.29","0.0","0.0","0","--","0.0","0","0","0.0","0.0","--","0","0","0","--","0:00","18.0","0:00","Non","00:01:30.7","7","27.0","--","--","--","00:30:27","00:31:31","61","72"
Course à pied,2023-10-30 18:42:38,false,"Paris Course à pied","6.11","460","00:35:41","142","154","2.7","153","167","5:51","4:10","28","25","1.12","0.0","0.0","0","--","0.0","0","0","0.0","0.0","--","0","0","0","--","0:00","18.0","0:00","Non","00:00:29.7","7","26.0","--","--","--","00:34:30","00:35:41","64","74"
Course à pied,2023-10-28 12:11:50,false,"Paris - Base","6.74","520","00:37:20","150","166","3.1","153","167","5:32","4:21","34","34","1.18","0.0","0.0","0","--","0.0","0","0","0.0","0.0","--","0","0","0","--","0:00","17.0","0:00","Non","00:03:44.8","7","25.0","--","--","--","00:35:07","00:37:20","59","71"
Course à pied,2023-10-27 16:58:10,false,"Paris - Base","7.26","563","00:39:42","157","179","3.2","155","214","5:28","4:24","32","35","1.17","0.0","0.0","0","--","0.0","0","0","0.0","0.0","--","0","0","0","--","0:00","18.0","0:00","Non","00:02:30.9","8","26.0","--","--","--","00:38:06","00:39:42","61","72"
Course à pied,2023-10-26 17:56:26,false,"Paris Course à pied","8.70","696","00:46:18","168","200","3.9","154","172","5:19","3:42","58","60","1.22","0.0","0.0","0","--","0.0","0","0","0.0","0.0","--","0","0","0","--","0:00","18.0","0:00","Non","00:03:38.4","9","25.0","--","--","--","00:44:04","00:46:18","38","75"
Cyclisme,2023-10-24 20:39:26,false,"Paris Cyclisme","3.47","123","00:13:29","120","144","0.8","--","--","15.4","25.7","35","5","0.00","0.0","0.0","0","--","0.0","0","0","0.0","0.0","--","0","0","0","--","0:00","18.0","0:00","Non","00:01:53.5","4","20.0","--","--","--","00:12:44","00:13:29","35","70"
Course à pied,2023-10-24 19:17:24,false,"Paris Course à pied","10.41","839","01:05:12","155","203","4.0","140","228","6:16","3:10","12","15","1.10","0.0","0.0","0","--","0.0","0","0","0.0","0.0","--","0","0","0","--","0:00","18.0","0:00","Non","00:00:29.1","29","24.0","--","--","--","00:59:58","01:08:11","38","48"
Course à pied,2023-10-23 17:13:10,false,"Paris - Base","6.31","479","00:33:23","154","175","3.2","157","177","5:18","3:10","29","33","1.20","0.0","0.0","0","--","0.0","0","0","0.0","0.0","--","0","0","0","--","0:00","16.0","0:00","Non","00:01:22.5","7","26.0","--","--","--","00:32:27","00:33:23","60","74"
Course à pied,2023-10-21 11:12:16,false,"Paris - Base","6.27","467","00:33:11","154","180","3.2","157","172","5:18","3:19","51","52","1.20","0.0","0.0","0","--","0.0","0","0","0.0","0.0","--","0","0","0","--","0:00","18.0","0:00","Non","00:01:14.3","7","27.0","--","--","--","00:31:48","00:33:11","61","73"
Course à pied,2023-10-20 18:33:22,false,"Paris Course à pied","8.67","714","00:51:59","155","190","3.7","139","174","6:00","3:38","29","30","1.17","0.0","0.0","0","--","0.0","0","0","0.0","0.0","--","0","0","0","--","0:00","20.0","0:00","Non","00:00:02.1","14","27.0","--","--","--","00:48:17","00:51:59","58","72"
Course à pied,2023-10-18 19:30:14,false,"Paris - Base","5.65","428","00:32:52","148","164","2.7","155","167","5:49","4:24","31","33","1.11","0.0","0.0","0","--","0.0","0","0","0.0","0.0","--","0","0","0","--","0:00","23.0","0:00","Non","00:03:48.9","6","28.0","--","--","--","00:31:55","00:32:52","63","72"
Course à pied,2023-10-17 19:15:55,false,"Paris Course à pied","4.51","413","00:28:56","159","190","3.2","156","172","6:24","4:00","31","24","1.00","0.0","0.0","0","--","0.0","0","0","0.0","0.0","--","0","0","0","--","0:00","19.0","0:00","Non","00:02:26.8","5","27.0","--","--","--","00:27:05","00:28:56","56","69"
Course à pied,2023-10-16 19:25:21,false,"Paris Course à pied","6.98","539","00:41:21","151","169","2.9","153","198","5:55","4:16","37","37","1.10","0.0","0.0","0","--","0.0","0","0","0.0","0.0","--","0","0","0","--","0:00","18.0","0:00","Non","00:05:25.7","7","27.0","--","--","--","00:39:20","00:41:21","61","73"
Course à pied,2023-10-11 19:26:20,false,"Paris - Base","7.08","563","00:40:36","156","173","3.1","154","198","5:44","4:25","36","36","1.13","0.0","0.0","0","--","0.0","0","0","0.0","0.0","--","0","0","0","--","0:00","25.0","0:00","Non","00:00:27.1","8","30.0","--","--","--","00:38:24","00:40:36","59","70"
Course à pied,2023-10-10 19:24:47,false,"Paris - Base","7.74","578","00:38:52","160","196","3.5","160","173","5:01","3:42","48","48","1.25","0.0","0.0","0","--","0.0","0","0","0.0","0.0","--","0","0","0","--","0:00","25.0","0:00","Non","00:03:55.5","8","30.0","--","--","--","00:38:17","00:38:52","34","71"
Course à pied,2023-10-09 19:36:59,false,"Paris Course à pied","6.08","456","00:31:35","158","180","3.2","159","170","5:12","4:13","28","28","1.21","0.0","0.0","0","--","0.0","0","0","0.0","0.0","--","0","0","0","--","0:00","24.0","0:00","Non","00:00:26.0","7","30.0","--","--","--","00:30:22","00:31:35","59","70"
Course à pied,2023-10-03 19:47:43,false,"Paris Course à pied","5.76","415","00:30:34","144","165","2.8","159","172","5:18","3:11","25","30","1.19","0.0","0.0","0","--","0.0","0","0","0.0","0.0","--","0","0","0","--","0:00","20.0","0:00","Non","00:04:06.3","6","28.0","--","--","--","00:29:30","00:30:34","61","71"
Course à pied,2023-10-02 19:11:21,false,"Paris Course à pied","5.74","446","00:32:18","153","171","2.9","156","168","5:38","3:48","27","30","1.14","0.0","0.0","0","--","0.0","0","0","0.0","0.0","--","0","0","0","--","0:00","27.0","0:00","Non","00:04:01.1","6","31.0","--","--","--","00:31:05","00:36:51","61","72"
Course à pied,2023-10-01 09:03:17,false,"Paris Course à pied","9.83","728","00:42:50","181","203","4.8","169","182","4:21","3:11","31","28","1.34","9.0","12.2","238","49.5% G / 50.5% D","0.0","0","0","0.0","0.0","--","0","0","0","--","0:00","18.0","0:00","Non","00:03:16.6","10","21.0","36","22","43","00:42:45","00:42:50","47","66"
Course à pied,2023-09-30 19:27:20,false,"Paris - Base","4.83","352","00:25:20","153","190","2.9","161","190","5:15","3:06","22","23","1.05","11.6","11.5","256","49.5% G / 50.5% D","0.0","0","0","0.0","0.0","--","0","0","0","--","0:00","23.0","0:00","Non","00:04:27.1","5","30.0","31","21","38","00:25:09","00:25:20","65","73"
Course à pied,2023-09-27 17:05:15,false,"Les Achards Course à pied","8.09","610","00:38:25","167","191","4.0","161","173","4:45","3:55","55","58","1.30","0.0","0.0","0","--","0.0","0","0","0.0","0.0","--","0","0","0","--","0:00","24.0","0:00","Non","00:00:24.1","9","28.0","--","--","--","00:37:51","00:38:25","38","57"
Course à pied,2023-09-26 19:01:46,false,"Paris Course à pied","11.93","896","01:07:20","156","190","3.9","155","187","5:39","2:49","20","22","1.13","9.9","10.9","275","49.6% G / 50.4% D","0.0","0","0","0.0","0.0","--","0","0","0","--","0:00","24.0","0:00","Non","00:00:02.6","18","29.0","32","16","42","01:06:06","01:07:20","60","70"
Course à pied,2023-09-25 20:03:29,false,"Paris Course à pied","5.40","416","00:30:26","153","190","3.0","158","167","5:38","4:42","25","26","1.11","10.4","11.5","267","49.7% G / 50.3% D","0.0","0","0","0.0","0.0","--","0","0","0","--","0:00","23.0","0:00","Non","00:02:10.0","6","28.0","32","18","44","00:29:09","00:30:26","63","73"
Course à pied,2023-09-23 10:01:49,false,"Saint-Cloud Course à pied","9.61","763","01:12:22","136","173","3.5","64","185","7:32","2:41","146","147","2.16","0.0","0.0","0","--","0.0","0","0","0.0","0.0","--","0","0","0","--","0:00","17.0","0:00","Non","00:02:56.6","10","25.0","--","--","--","00:47:48","01:17:13","33","136"
Course à pied,2023-09-21 20:10:33,false,"Paris Course à pied","6.29","468","00:33:57","148","180","3.1","157","170","5:24","3:50","33","35","1.18","0.0","0.0","0","--","0.0","0","0","0.0","0.0","--","0","0","0","--","0:00","19.0","0:00","Non","00:01:32.1","7","27.0","--","--","--","00:32:55","00:33:57","60","72"
Course à pied,2023-09-20 19:52:22,false,"Paris Course à pied","5.89","410","00:32:35","140","158","2.5","161","169","5:32","4:38","23","24","1.11","10.8","12.1","265","50.0% G / 50.0% D","0.0","0","0","0.0","0.0","--","0","0","0","--","0:00","25.0","0:00","Non","00:04:47.4","6","30.0","24","15","34","00:32:31","00:32:35","65","73"
Course à pied,2023-09-19 18:51:43,false,"Paris Course à pied","10.54","771","00:56:15","155","184","3.9","157","172","5:20","1:51","28","33","1.16","9.9","11.5","269","49.5% G / 50.5% D","0.0","0","0","0.0","0.0","--","0","0","0","--","0:00","23.0","0:00","Non","00:00:02.0","16","29.0","30","18","41","00:55:31","00:56:15","59","74"
Course à pied,2023-09-18 18:49:09,false,"Paris - Base","5.81","435","00:33:16","146","190","2.9","157","187","5:43","3:37","27","29","1.11","10.3","11.2","268","49.5% G / 50.5% D","0.0","0","0","0.0","0.0","--","0","0","0","--","0:00","23.0","0:00","Non","00:04:11.9","6","29.0","26","13","40","00:31:36","00:33:16","62","72"
Nat. piscine,2023-09-14 20:48:58,false,"En piscine","625","367","01:04:33","146","177","3.4","--","--","2:01","0:52","--","--","0.00","0.0","0.0","0","--","0.0","0","0","0.0","0.0","298","42","24","0","--","0:00","0.0","0:00","Non","00:00:00.7","10","0.0","--","--","--","00:12:38","01:27:32","--","--"
Course à pied,2023-09-14 19:26:05,false,"Paris Course à pied","7.60","766","00:58:39","160","205","4.0","140","248","7:43","3:00","3","2","0.92","10.9","9.9","303","50.1% G / 49.9% D","0.0","0","0","0.0","0.0","--","0","0","0","--","0:00","24.0","0:00","Non","00:00:29.1","28","29.0","31","15","44","00:52:18","00:58:39","37","40"
Course à pied,2023-09-12 18:00:51,false,"Paris Course à pied","8.19","643","00:46:41","155","193","3.4","157","187","5:42","3:50","57","56","1.11","10.3","11.5","269","49.7% G / 50.3% D","0.0","0","0","0.0","0.0","--","0","0","0","--","0:00","22.0","0:00","Non","00:00:56.5","9","30.0","30","20","39","00:45:16","00:46:41","40","78"
Course à pied,2023-09-11 18:38:28,false,"Paris Course à pied","8.21","710","00:57:18","151","196","3.6","141","248","6:59","2:55","29","30","1.02","9.7","9.5","302","49.5% G / 50.5% D","0.0","0","0","0.0","0.0","--","0","0","0","--","0:00","27.0","0:00","Non","00:00:28.6","21","31.0","31","18","42","00:52:48","00:57:18","61","74"
Course à pied,2023-09-07 18:54:47,false,"Paris - Base","5.96","473","00:35:45","151","171","3.0","153","167","6:00","4:26","30","27","1.09","0.0","0.0","0","--","0.0","0","0","0.0","0.0","--","0","0","0","--","0:00","30.0","0:00","Non","00:05:27.3","6","32.0","--","--","--","00:34:34","00:35:45","62","73"
Course à pied,2023-09-06 18:14:45,false,"Paris - Base","7.03","542","00:38:30","158","197","3.4","160","184","5:29","3:49","38","39","1.13","10.1","11.5","278","49.9% G / 50.1% D","0.0","0","0","0.0","0.0","--","0","0","0","--","0:00","31.0","0:00","Non","00:02:31.0","8","33.0","32","19","41","00:37:45","00:38:30","62","72"
Course à pied,2023-09-05 18:12:45,false,"Paris - Base","6.28","510","00:37:15","159","197","3.2","158","168","5:56","4:19","31","30","1.07","10.4","11.2","280","49.8% G / 50.2% D","0.0","0","0","0.0","0.0","--","0","0","0","--","0:00","31.0","0:00","Non","00:01:28.7","7","33.0","32","20","40","00:36:22","00:37:15","61","72"
Course à pied,2023-08-30 18:29:55,false,"Paris - AS 10 : 4x1km @ 4'05/km r : 2'00","9.87","750","01:00:46","147","192","3.6","147","213","6:09","3:16","31","33","1.08","9.3","9.9","276","49.0% G / 51.0% D","0.0","0","0","0.0","0.0","--","0","0","0","--","0:00","21.0","0:00","Non","00:02:00","14","29.0","30","18","45","00:57:47","01:00:46","60","72"
Course à pied,2023-08-29 18:18:45,false,"Paris - Base","5.87","416","00:31:57","142","196","2.8","160","169","5:26","3:36","27","25","1.15","10.3","11.8","271","49.7% G / 50.3% D","0.0","0","0","0.0","0.0","--","0","0","0","--","0:00","23.0","0:00","Non","00:04:40.5","6","29.0","28","18","37","00:31:23","00:31:57","64","72"
Course à pied,2023-08-23 18:08:55,false,"Paris - Base","5.66","444","00:29:51","165","186","3.2","163","173","5:17","3:40","24","21","1.15","9.7","11.2","269","49.6% G / 50.4% D","0.0","0","0","0.0","0.0","--","0","0","0","--","0:00","31.0","0:00","Non","00:00:01.3","8","32.0","34","25","40","00:29:43","00:32:09","63","73"
Course à pied,2023-08-22 20:08:52,false,"Paris - Base","7.09","569","00:41:01","158","203","3.2","159","194","5:47","3:47","30","33","1.06","10.9","11.5","279","49.8% G / 50.2% D","0.0","0","0","0.0","0.0","--","0","0","0","--","0:00","28.0","0:00","Non","00:01:00.8","8","32.0","32","21","42","00:40:36","00:41:01","61","71"
Course à pied,2023-08-19 14:27:23,false,"Paris Course à pied","5.79","436","00:33:50","148","186","2.6","157","176","5:51","4:05","65","64","1.07","10.2","10.9","274","49.7% G / 50.3% D","0.0","0","0","0.0","0.0","--","0","0","0","--","0:00","28.0","0:00","Non","00:04:30.5","6","30.0","26","13","35","00:32:46","00:33:50","26","195"
Course à pied,2023-08-18 20:12:43,false,"Paris Course à pied","7.61","624","00:41:48","169","196","3.7","161","187","5:29","3:55","51","48","1.11","10.2","11.3","272","49.8% G / 50.2% D","0.0","0","0","0.0","0.0","--","0","0","0","--","0:00","30.0","0:00","Non","00:02:35.5","9","32.0","31","15","40","00:41:25","00:41:48","39","76"
Course à pied,2023-08-16 18:29:55,false,"Paris - Base","5.29","440","00:30:33","166","201","3.1","159","168","5:47","4:41","21","20","1.05","11.0","11.3","278","49.7% G / 50.3% D","0.0","0","0","0.0","0.0","--","0","0","0","--","0:00","28.0","0:00","Non","00:01:38.3","6","31.0","34","21","40","00:30:05","00:30:33","65","73"
Course à pied,2023-08-08 19:23:02,false,"Paris Course à pied","7.31","533","00:36:59","155","194","3.2","162","175","5:03","3:24","37","39","1.23","9.9","12.2","266","49.2% G / 50.8% D","0.0","0","0","0.0","0.0","--","0","0","0","--","0:00","24.0","0:00","Non","00:01:32.0","8","29.0","31","17","42","00:36:28","00:36:59","62","72"
Course à pied,2023-08-07 18:55:05,false,"Paris Course à pied","5.50","433","00:30:23","157","202","3.0","161","169","5:31","3:27","24","28","1.15","9.8","11.4","266","49.2% G / 50.8% D","0.0","0","0","0.0","0.0","--","0","0","0","--","0:00","24.0","0:00","Non","00:02:31.0","6","29.0","31","19","41","00:29:18","00:30:23","66","77"
Course à pied,2023-08-05 11:19:08,false,"Paris Course à pied","5.79","424","00:26:58","168","201","3.5","166","184","4:39","3:12","29","25","1.30","9.0","11.8","253","49.2% G / 50.8% D","0.0","0","0","0.0","0.0","--","0","0","0","--","0:00","20.0","0:00","Non","00:03:25.6","6","28.0","33","19","42","00:26:31","00:26:58","64","73"
Course à pied,2023-08-04 18:11:06,false,"Paris Course à pied","7.07","550","00:41:21","151","194","2.9","158","174","5:51","3:56","30","30","1.10","10.6","11.7","270","49.3% G / 50.7% D","0.0","0","0","0.0","0.0","--","0","0","0","--","0:00","22.0","0:00","Non","00:00:21.5","8","29.0","28","14","39","00:39:45","00:41:21","61","73"
Course à pied,2023-08-02 18:02:56,false,"Paris - AS 5 : 8x400m @3'50/km r : 1'30'","10.71","861","01:05:44","156","195","3.8","153","184","6:08","3:03","135","132","1.06","10.3","10.5","274","49.2% G / 50.8% D","0.0","0","0","0.0","0.0","--","0","0","0","--","0:00","22.0","0:00","Non","00:01:29.2","23","30.0","31","21","42","01:04:38","01:05:44","58","75"
Course à pied,2023-08-01 18:14:20,false,"Paris Course à pied","7.18","560","00:41:03","153","200","3.1","161","167","5:43","4:28","35","35","1.10","10.6","11.8","268","49.3% G / 50.7% D","0.0","0","0","0.0","0.0","--","0","0","0","--","0:00","24.0","0:00","Non","00:00:58.5","8","29.0","31","19","44","00:40:12","00:41:03","61","72"
Course à pied,2023-07-30 12:16:14,false,"Paris Course à pied","5.71","434","00:32:19","151","194","2.8","161","172","5:39","4:35","28","25","1.06","11.0","11.5","268","49.5% G / 50.5% D","0.0","0","0","0.0","0.0","--","0","0","0","--","0:00","23.0","0:00","Non","00:03:54.1","6","28.0","30","16","42","00:31:59","00:32:19","63","72"
Course à pied,2023-07-29 11:53:56,false,"Paris - VMA : 2x(6x30''/30'') @ 105%","5.50","497","00:36:08","166","203","3.4","142","248","6:34","3:06","19","15","1.02","8.8","9.0","302","49.0% G / 51.0% D","0.0","0","0","0.0","0.0","--","0","0","0","--","0:00","25.0","0:00","Non","00:00:29.6","30","28.0","34","22","47","00:34:51","00:36:08","59","69"
Course à pied,2023-07-29 11:30:12,false,"Paris - VMA : 2x(6x30''/30'') @ 105%","3.06","264","00:22:39","141","168","2.3","143","240","7:25","2:43","12","19","0.94","12.0","10.0","288","49.4% G / 50.6% D","0.0","0","0","0.0","0.0","--","0","0","0","--","0:00","25.0","0:00","Non","00:00:01.9","5","30.0","28","15","36","00:21:38","00:23:05","63","73"
Course à pied,2023-07-27 18:10:47,false,"Paris Course à pied","7.68","593","00:39:35","167","197","3.6","164","173","5:09","3:36","56","50","1.16","9.7","11.3","266","49.4% G / 50.6% D","0.0","0","0","0.0","0.0","--","0","0","0","--","0:00","21.0","0:00","Non","00:03:53.5","8","28.0","34","23","42","00:39:33","00:39:35","39","78"
Course à pied,2023-07-26 18:26:05,false,"Paris - Base","5.80","426","00:30:13","151","173","3.0","164","172","5:12","3:03","28","29","1.16","9.7","11.2","266","49.4% G / 50.6% D","0.0","0","0","0.0","0.0","--","0","0","0","--","0:00","26.0","0:00","Non","00:04:11.3","6","30.0","31","22","38","00:30:11","00:30:13","64","73"
Course à pied,2023-07-18 18:58:02,false,"Dompierre-sur-Yon Course à pied","8.11","591","00:43:16","154","183","3.3","163","173","5:20","3:31","50","50","1.15","9.7","11.2","269","49.1% G / 50.9% D","0.0","0","0","0.0","0.0","--","0","0","0","--","0:00","25.0","0:00","Non","00:01:30.5","11","29.0","26","11","40","00:43:14","00:43:16","69","89"
Cyclisme,2023-07-17 18:47:20,false,"Dompierre-sur-Yon Cyclisme","22.02","612","00:48:54","144","167","2.8","--","--","27.0","40.7","112","113","0.00","0.0","0.0","0","--","0.0","0","0","0.0","0.0","--","0","0","0","--","0:00","26.0","0:00","Non","00:00:02.4","23","30.0","32","21","40","00:48:45","00:48:54","59","88"
Course à pied,2023-07-16 10:21:21,false,"Audierne Course à pied","14.70","1,164","01:22:34","153","181","3.7","162","232","5:37","4:04","191","191","1.10","10.1","11.4","269","49.5% G / 50.5% D","0.0","0","0","0.0","0.0","--","0","0","0","--","0:00","19.0","0:00","Non","00:03:52.3","15","28.0","31","17","38","01:22:30","01:22:34","1","50"
Course à pied,2023-07-15 11:38:06,false,"Audierne Course à pied","8.23","635","00:45:10","150","178","3.2","163","187","5:29","4:26","122","125","1.12","9.8","11.2","267","49.5% G / 50.5% D","0.0","0","0","0.0","0.0","--","0","0","0","--","0:00","21.0","0:00","Non","00:01:13.4","9","29.0","30","19","39","00:45:08","00:45:10","-2","46"
Course à pied,2023-07-14 18:06:57,false,"Audierne Course à pied","8.15","669","00:45:27","158","184","3.5","163","203","5:35","2:24","98","99","1.14","9.9","11.3","269","49.5% G / 50.5% D","0.0","0","0","0.0","0.0","--","0","0","0","--","0:00","22.0","0:00","Non","00:00:49.0","9","30.0","33","22","41","00:45:25","00:45:27","2","48"
Course à pied,2023-07-13 16:28:27,false,"Audierne Course à pied","8.23","645","00:45:16","151","178","3.3","163","216","5:30","4:00","100","95","1.12","9.8","11.2","267","49.6% G / 50.4% D","0.0","0","0","0.0","0.0","--","0","0","0","--","0:00","24.0","0:00","Non","00:01:14.0","9","30.0","31","18","39","00:45:14","00:45:16","3","48"
Course à pied,2023-07-12 10:10:54,false,"Paris Course à pied","6.21","430","00:33:42","142","160","2.5","161","208","5:26","1:50","36","33","1.13","9.8","11.2","263","49.8% G / 50.2% D","0.0","0","0","0.0","0.0","--","0","0","0","--","0:00","23.0","0:00","Non","00:01:04.4","7","30.0","22","13","33","00:33:08","00:33:42","65","75"
Course à pied,2023-07-11 20:03:25,false,"Paris Course à pied","1.93","151","00:10:40","158","170","2.1","162","170","5:31","4:50","11","9","1.10","10.0","10.9","274","49.5% G / 50.5% D","0.0","0","0","0.0","0.0","--","0","0","0","--","0:00","31.0","0:00","Non","00:04:59.5","2","34.0","33","24","38","00:10:36","00:10:40","65","70"
Musculation,2023-07-11 19:29:22,false,"Musculation","0.00","224","00:32:23","114","179","1.0","--","--","--","--","--","--","0.00","0.0","0.0","0","--","0.0","0","0","0.0","0.0","--","0","0","151","10","0:00","31.0","0:00","Non","00:32:23","1","34.0","21","16","28","00:05:18.4","00:32:23","--","--"
Course à pied,2023-07-11 19:11:57,false,"Paris Course à pied","1.94","139","00:11:01","136","152","1.7","161","164","5:41","4:40","11","7","1.10","10.0","11.0","275","49.1% G / 50.9% D","0.0","0","0","0.0","0.0","--","0","0","0","--","0:00","30.0","0:00","Non","00:05:23.3","2","32.0","23","13","30","00:11:01","00:11:01","65","72"
