Type d'activité,Date,Favori,Titre,Distance,Calories,Durée,Fréquence cardiaque moyenne,Fréquence cardiaque maximale,TE aérobie,Cadence de course moyenne,Cadence de course maximale,Allure moyenne,Meilleure allure,Ascension totale,Descente totale,Longueur moyenne des foulées,Rapport vertical moyen,Oscillation verticale moyenne,Temps de contact moyen avec le sol,Equilibre TCS moyen,Training Stress Score® (TSS®),Puissance moy.,Puissance max.,Difficulté,Constance,Nombre total de coups,SWOLF moyen,Fréquence moy. des coups,Total répétitions,Total séries,Temps de plongée,Température minimale,Intervalle à la surface,Décompression,Temps du meilleur circuit,Nombre de tours,Température maximale,Fréquence respiratoire moyenne,Fréquence respiratoire minimale,Fréquence respiratoire maximale,Temps de déplacement,Temps écoulé,Altitude minimale,Altitude maximale
Musculation,2024-04-26 17:28:00,false,"Musculation","0.00","362","00:52:22","113","142","1.4","--","--","--","--","--","--","0.00","0.0","0.0","0","--","0.0","0","0","0.0","0.0","--","0","0","204","23","0:00","26.0","0:00","Non","00:52:22","1","29.0","--","--","--","00:14:45","00:52:22","--","--"
Course à pied,2024-04-25 18:06:02,false,"Audierne Course à pied","5.93","466","00:34:31","145","166","3.2","160","181","5:49","4:47","79","78","1.07","0.0","0.0","0","--","0.0","0","0","0.0","0.0","--","0","0","0","--","0:00","20.0","0:00","Non","00:05:38.0","6","27.0","--","--","--","00:34:30","00:34:31","9","49"
Course à pied,2024-04-25 18:06:02,false,"Audierne Course à pied","5.93","466","00:34:31","145","166","3.2","160","181","5:49","4:47","79","78","1.07","0.0","0.0","0","--","0.0","0","0","0.0","0.0","--","0","0","0","--","0:00","20.0","0:00","Non","00:05:38.0","6","27.0","--","--","--","00:34:30","00:34:31","9","49"
Course à pied,2024-04-24 17:53:56,false,"Audierne Course à pied","8.24","652","00:44:45","153","180","3.8","162","183","5:26","3:56","101","102","1.14","0.0","0.0","0","--","0.0","0","0","0.0","0.0","--","0","0","0","--","0:00","18.0","0:00","Non","00:01:25.7","9","26.0","--","--","--","00:44:44","00:44:45","2","49"
Musculation,2024-04-23 18:38:59,false,"Musculation","0.00","283","00:44:39","107","142","1.1","--","--","--","--","--","--","0.00","0.0","0.0","0","--","0.0","0","0","0.0","0.0","--","0","0","186","24","0:00","27.0","0:00","Non","00:44:39","1","30.0","--","--","--","00:11:51","00:44:39","--","--"
Course à pied,2024-04-22 17:52:58,false,"Audierne - Base","6.00","462","00:32:55","146","173","3.3","161","182","5:29","4:20","83","83","1.13","0.0","0.0","0","--","0.0","0","0","0.0","0.0","--","0","0","0","--","0:00","19.0","0:00","Non","00:02:54.6","7","30.0","--","--","--","00:32:52","00:32:55","5","46"
Course à pied,2024-04-20 17:34:56,false,"Dompierre-sur-Yon - Base","5.80","422","00:31:55","147","188","3.1","164","178","5:30","3:49","39","34","1.09","10.1","11.1","260","49.2% G / 50.8% D","0.0","0","0","0.0","0.0","--","0","0","0","--","0:00","19.0","0:00","Non","00:01:28.7","7","26.0","31","18","42","00:31:54","00:31:55","67","84"
Musculation,2024-04-19 11:49:31,false,"Musculation","0.00","277","00:36:47","113","155","1.6","--","--","--","--","--","--","0.00","0.0","0.0","0","--","0.0","0","0","0.0","0.0","--","0","0","197","21","0:00","26.0","0:00","Non","00:36:47","1","30.0","--","--","--","00:06:11.1","00:36:47","--","--"
Course à pied,2024-04-18 18:07:31,false,"Paris - Base","8.69","619","00:43:44","157","191","3.7","164","233","5:02","3:41","24","28","1.13","10.4","11.4","253","49.1% G / 50.9% D","0.0","0","0","0.0","0.0","--","0","0","0","--","0:00","17.0","0:00","Non","00:01:02.3","11","30.0","32","18","42","00:42:46","00:43:44","34","51"
Musculation,2024-04-17 12:43:32,false,"Musculation","0.00","77","00:09:57.8","111","125","0.4","--","--","--","--","--","--","0.00","0.0","0.0","0","--","0.0","0","0","0.0","0.0","--","0","0","31","7","0:00","29.0","0:00","Non","00:09:57.8","1","30.0","--","--","--","00:01:50.7","00:09:57.8","--","--"
Course à pied,2024-04-16 17:50:00,false,"Paris - Base","4.20","290","00:21:28","149","177","2.9","163","180","5:07","3:44","18","15","1.13","10.5","11.6","254","49.0% G / 51.0% D","0.0","0","0","0.0","0.0","--","0","0","0","--","0:00","15.0","0:00","Non","00:01:09.3","5","29.0","31","21","38","00:21:23","00:21:28","40","55"
Course à pied,2024-04-15 18:30:47,false,"Paris - Base","8.06","598","00:44:25","151","173","3.3","158","209","5:31","4:09","44","40","1.10","10.4","11.4","264","49.3% G / 50.7% D","0.0","0","0","0.0","0.0","--","0","0","0","--","0:00","16.0","0:00","Non","00:00:15.9","9","29.0","31","19","38","00:43:32","00:44:25","31","57"
Course à pied,2024-04-12 19:17:39,false,"Paris Course à pied","3.00","217","00:20:28","134","156","2.2","141","170","6:49","4:35","13","11","1.04","0.0","0.0","0","--","0.0","0","0","0.0","0.0","--","0","0","0","--","0:00","25.0","0:00","Non","00:06:02.8","3","31.0","--","--","--","00:20:03","00:20:28","40","52"
Course à pied,2024-04-10 18:25:18,false,"Paris - Base","9.65","707","00:51:42","159","189","3.9","158","197","5:21","2:53","29","30","1.11","11.1","11.6","254","49.0% G / 51.0% D","0.0","0","0","0.0","0.0","--","0","0","0","--","0:00","21.0","0:00","Non","00:00:01.7","13","29.0","32","23","40","00:49:16","00:51:42","38","55"
Course à pied,2024-04-09 19:06:46,false,"Base","1.10","74","00:07:22.3","123","132","0.7","160","170","6:43","5:07","1","10","0.73","15.2","10.4","282","49.8% G / 50.2% D","0.0","0","0","0.0","0.0","--","0","0","0","--","0:00","21.0","0:00","Non","00:00:39.7","2","29.0","28","22","34","00:07:20","00:07:22.3","-32","-20"
Course à pied,2024-04-03 15:23:49,false,"Paris - Base","8.25","628","00:44:10","161","193","3.8","159","178","5:21","2:49","35","37","1.06","12.0","11.3","259","49.0% G / 51.0% D","0.0","0","0","0.0","0.0","--","0","0","0","--","0:00","18.0","0:00","Non","00:01:58.4","9","29.0","33","17","41","00:42:30","00:44:10","32","54"
Course à pied,2024-04-02 15:06:45,false,"Paris - Base","3.82","261","00:24:58","131","173","2.2","154","199","6:32","4:00","23","17","0.94","11.9","10.9","277","49.7% G / 50.3% D","0.0","0","0","0.0","0.0","--","0","0","0","--","0:00","20.0","0:00","Non","00:04:50.2","4","29.0","28","19","35","00:24:32","00:24:58","39","53"
Course à pied,2024-03-27 12:42:37,false,"Base","4.15","314","00:20:15","165","196","3.4","165","176","4:53","3:45","18","14","0.88","12.3","11.7","253","49.3% G / 50.7% D","0.0","0","0","0.0","0.0","--","0","0","0","--","0:00","17.0","0:00","Non","00:00:07.4","6","29.0","34","24","43","00:20:14","00:20:15","27","42"
Course à pied,2024-03-26 15:47:43,false,"Paris - Base","5.13","439","00:34:49","138","174","3.3","153","177","6:47","3:30","23","16","0.95","0.0","0.0","0","--","0.0","0","0","0.0","0.0","--","0","0","0","--","0:00","16.0","0:00","Non","00:01:41.5","6","30.0","--","--","--","00:27:55","00:35:16","37","53"
Course à pied,2024-03-19 17:56:28,false,"Paris - AS 10 : 4x1km @ 4'10/km r : 2'00","10.82","806","00:54:41","163","194","4.4","161","179","5:03","3:38","36","35","1.22","9.6","11.7","257","48.8% G / 51.2% D","0.0","0","0","0.0","0.0","--","0","0","0","--","0:00","20.0","0:00","Non","00:02:00","14","30.0","33","21","42","00:53:22","00:54:41","32","51"
Course à pied,2024-03-18 17:55:57,false,"Paris - Base","5.14","368","00:25:08","158","178","3.2","164","176","4:53","3:50","19","19","1.23","9.5","11.8","254","49.3% G / 50.7% D","0.0","0","0","0.0","0.0","--","0","0","0","--","0:00","20.0","0:00","Non","00:00:42.5","6","28.0","31","18","39","00:25:00","00:25:08","40","53"
Course à pied,2024-03-15 19:16:23,false,"Paris - Base","2.92","205","00:16:23","138","170","2.2","159","232","5:36","2:32","7","12","1.10","10.4","11.4","269","49.1% G / 50.9% D","0.0","0","0","0.0","0.0","--","0","0","0","--","0:00","19.0","0:00","Non","00:04:58.0","3","27.0","25","17","36","00:16:10","00:19:34","38","52"
Course à pied,2024-03-14 17:52:05,false,"Paris - Base","8.88","684","00:45:13","166","194","4.2","159","209","5:05","3:51","28","25","1.21","9.5","11.6","256","48.9% G / 51.1% D","0.0","0","0","0.0","0.0","--","0","0","0","--","0:00","20.0","0:00","Non","00:00:01.6","13","28.0","34","23","43","00:43:32","00:45:13","34","53"
Course à pied,2024-03-09 12:27:57,false,"Paris - Base","4.62","358","00:23:07","168","192","3.5","159","179","5:00","3:54","16","18","1.24","10.0","11.9","259","49.0% G / 51.0% D","0.0","0","0","0.0","0.0","--","0","0","0","--","0:00","20.0","0:00","Non","00:03:26.7","5","29.0","34","20","43","00:22:24","00:23:07","40","52"
Course à pied,2024-03-05 15:42:51,false,"Paris - Base","8.26","590","00:43:09","152","184","3.5","160","219","5:13","3:19","34","29","1.16","10.4","11.7","265","49.1% G / 50.9% D","0.0","0","0","0.0","0.0","--","0","0","0","--","0:00","15.0","0:00","Non","00:01:24.8","9","28.0","30","18","39","00:42:24","00:43:09","32","50"
Course à pied,2024-03-04 16:01:44,false,"Paris - Base","4.53","311","00:21:57","159","189","3.3","162","188","4:51","3:06","11","11","1.31","9.9","12.0","259","49.2% G / 50.8% D","0.0","0","0","0.0","0.0","--","0","0","0","--","0:00","17.0","0:00","Non","00:02:38.5","5","28.0","33","19","40","00:21:31","00:21:57","42","53"
Course à pied,2024-03-02 12:14:46,false,"Paris - Base","4.73","339","00:21:59","170","193","3.5","164","177","4:39","2:33","12","11","1.23","10.7","12.2","256","49.3% G / 50.8% D","0.0","0","0","0.0","0.0","--","0","0","0","--","0:00","14.0","0:00","Non","00:03:39.7","5","27.0","33","22","42","00:21:52","00:21:59","45","54"
Course à pied,2024-02-27 19:32:27,false,"Base","4.44","382","00:25:52","160","192","3.5","158","177","5:50","4:02","9","10","0.96","12.7","12.0","268","49.2% G / 50.8% D","0.0","0","0","0.0","0.0","--","0","0","0","--","0:00","15.0","0:00","Non","00:00:20.2","6","26.0","32","22","42","00:25:19","00:25:52","40","51"
