Date;Repos;Le plus haut
18-oct;53 bpm;159 bpm
17-oct;54 bpm;184 bpm
16-oct;59 bpm;162 bpm
15-oct;72 bpm;132 bpm
14-oct;60 bpm;131 bpm
12-oct;58 bpm;108 bpm
11-oct;56 bpm;168 bpm
10-oct;54 bpm;187 bpm
09-oct;54 bpm;174 bpm
07-oct;53 bpm;163 bpm
06-oct;52 bpm;135 bpm
05-oct;55 bpm;123 bpm
04-oct;48 bpm;119 bpm
03-oct;48 bpm;212 bpm
02-oct;48 bpm;228 bpm
01-oct;45 bpm;219 bpm
30 Sep.;58 bpm;176 bpm
29 Sep.;53 bpm;121 bpm
28 Sep.;68 bpm;137 bpm
27 Sep.;48 bpm;184 bpm
26 Sep.;49 bpm;185 bpm
25 Sep.;49 bpm;167 bpm
24 Sep.;58 bpm;129 bpm
23 Sep.;46 bpm;164 bpm
22 Sep.;45 bpm;112 bpm
21 Sep.;46 bpm;169 bpm
20 Sep.;48 bpm;165 bpm
19 Sep.;51 bpm;179 bpm
18 Sep.;53 bpm;162 bpm
16 Sep.;56 bpm;166 bpm
15 Sep.;56 bpm;116 bpm
14 Sep.;53 bpm;195 bpm
13 Sep.;52 bpm;133 bpm
12 Sep.;49 bpm;171 bpm
11 Sep.;47 bpm;189 bpm
10 Sep.;55 bpm;102 bpm
9 Sep.;56 bpm;157 bpm
8 Sep.;50 bpm;136 bpm
7 Sep.;50 bpm;165 bpm
6 Sep.;52 bpm;184 bpm
5 Sep.;52 bpm;176 bpm
4 Sep.;56 bpm;113 bpm
3 Sep.;51 bpm;113 bpm
2 Sep.;47 bpm;116 bpm
1 Sep.;55 bpm;141 bpm
31-août;49 bpm;124 bpm
30-août;47 bpm;187 bpm
29-août;49 bpm;161 bpm
28-août;47 bpm;107 bpm
27-août;55 bpm;141 bpm
26-août;57 bpm;146 bpm
25-août;56 bpm;133 bpm
24-août;61 bpm;119 bpm
23-août;47 bpm;184 bpm
22-août;49 bpm;178 bpm
21-août;54 bpm;90 bpm
20-août;55 bpm;142 bpm
19-août;56 bpm;159 bpm
18-août;49 bpm;192 bpm
17-août;50 bpm;112 bpm
16-août;51 bpm;179 bpm
15-août;48 bpm;114 bpm
14-août;51 bpm;99 bpm
13-août;50 bpm;133 bpm
10-août;46 bpm;113 bpm
09-août;46 bpm;102 bpm
08-août;46 bpm;205 bpm
07-août;47 bpm;172 bpm
06-août;59 bpm;133 bpm
05-août;47 bpm;185 bpm
04-août;45 bpm;190 bpm
03-août;47 bpm;109 bpm
02-août;47 bpm;181 bpm
01-août;46 bpm;173 bpm
31-juil;--;115 bpm
30-juil;48 bpm;166 bpm
29-juil;48 bpm;195 bpm
28-juil;50 bpm;117 bpm
27-juil;51 bpm;194 bpm
26-juil;48 bpm;163 bpm
25-juil;46 bpm;119 bpm
24-juil;53 bpm;95 bpm
23-juil;52 bpm;132 bpm
22-juil;51 bpm;139 bpm
21-juil;50 bpm;143 bpm
19-juil;46 bpm;108 bpm
18-juil;46 bpm;178 bpm
17-juil;47 bpm;160 bpm
16-juil;47 bpm;177 bpm
15-juil;45 bpm;173 bpm
14-juil;46 bpm;178 bpm
13-juil;44 bpm;170 bpm
12-juil;45 bpm;150 bpm
11-juil;44 bpm;164 bpm
10-juil;46 bpm;186 bpm
09-juil;49 bpm;226 bpm
08-juil;69 bpm;145 bpm
07-juil;48 bpm;185 bpm
06-juil;51 bpm;158 bpm
05-juil;51 bpm;190 bpm
04-juil;53 bpm;176 bpm
03-juil;49 bpm;181 bpm
02-juil;55 bpm;91 bpm
01-juil;55 bpm;111 bpm
30-juin;54 bpm;138 bpm
29-juin;49 bpm;103 bpm
28-juin;49 bpm;193 bpm
27-juin;48 bpm;178 bpm
26-juin;52 bpm;190 bpm
25-juin;53 bpm;105 bpm
24-juin;50 bpm;136 bpm
23-juin;53 bpm;82 bpm
22-juin;52 bpm;149 bpm
21-juin;48 bpm;175 bpm
20-juin;47 bpm;186 bpm
19-juin;46 bpm;187 bpm
18-juin;48 bpm;129 bpm
17-juin;54 bpm;115 bpm
16-juin;46 bpm;77 bpm
15-juin;--;101 bpm
14-juin;48 bpm;181 bpm
13-juin;47 bpm;179 bpm
12-juin;48 bpm;123 bpm
11-juin;55 bpm;130 bpm
09-juin;53 bpm;125 bpm
08-juin;50 bpm;118 bpm
07-juin;52 bpm;190 bpm
06-juin;51 bpm;165 bpm
05-juin;48 bpm;151 bpm
04-juin;51 bpm;158 bpm
03-juin;--;83 bpm
02-juin;48 bpm;168 bpm
01-juin;48 bpm;148 bpm
31-mai;49 bpm;156 bpm
30-mai;45 bpm;178 bpm
29-mai;49 bpm;151 bpm
28-mai;51 bpm;119 bpm
27-mai;45 bpm;167 bpm
26-mai;47 bpm;94 bpm
25-mai;48 bpm;156 bpm
24-mai;47 bpm;169 bpm
23-mai;45 bpm;190 bpm
22-mai;47 bpm;90 bpm
21-mai;51 bpm;99 bpm
20-mai;47 bpm;178 bpm
19-mai;51 bpm;117 bpm
18-mai;48 bpm;104 bpm
17-mai;45 bpm;195 bpm
16-mai;44 bpm;182 bpm
15-mai;48 bpm;125 bpm
14-mai;53 bpm;83 bpm
13-mai;46 bpm;76 bpm
12-mai;48 bpm;94 bpm
11-mai;48 bpm;189 bpm
10-mai;50 bpm;179 bpm
09-mai;54 bpm;175 bpm
08-mai;50 bpm;148 bpm
07-mai;52 bpm;168 bpm
06-mai;53 bpm;130 bpm
05-mai;49 bpm;177 bpm
04-mai;50 bpm;106 bpm
03-mai;48 bpm;170 bpm
02-mai;50 bpm;122 bpm
01-mai;58 bpm;141 bpm
29 Avr.;--;65 bpm
28 Avr.;51 bpm;109 bpm
27 Avr.;59 bpm;123 bpm
26 Avr.;56 bpm;98 bpm
25 Avr.;53 bpm;160 bpm
24 Avr.;53 bpm;188 bpm
23 Avr.;63 bpm;140 bpm
22 Avr.;56 bpm;126 bpm
21 Avr.;51 bpm;77 bpm
20 Avr.;54 bpm;160 bpm
19 Avr.;54 bpm;100 bpm
18 Avr.;52 bpm;85 bpm
17 Avr.;51 bpm;191 bpm
16 Avr.;49 bpm;124 bpm
15 Avr.;53 bpm;172 bpm
14 Avr.;50 bpm;112 bpm
13 Avr.;61 bpm;158 bpm
12 Avr.;55 bpm;124 bpm
11 Avr.;54 bpm;122 bpm
10 Avr.;54 bpm;115 bpm
